"ID","OLD_PHONE","NEW_PHONE"
1,"086","086"
2,"096","096"
3,"0163","033"
4,"0162","032"
5,"091","091"
6,"094","094"
7,"088","088"
8,"0123","083"
9,"0124","084"
10,"0125","085"
11,"0127","081"
12,"0129","082"
13,"097","097"
14,"0120","070"
15,"0121","079"
16,"0122","077"
17,"0126","076"
18,"0128","078"
19,"089","089"
20,"090","090"
21,"093","093"
22,"092","092"
23,"0182","052"
24,"098","098"
25,"0186","056"
26,"0188","058"
27,"099","099"
28,"0199","059"
29,"087","087"
30,"0169","039"
31,"0168","038"
32,"0167","037"
33,"0166","036"
34,"0165","035"
35,"0164","034"
